iter	Passed	Remaining
0	152	152441
1	202	101226
2	249	82936
3	299	74531
4	352	70242
5	405	67123
6	457	64856
7	517	64148
8	582	64100
9	641	63502
10	704	63311
11	769	63388
12	839	63774
13	902	63589
14	965	63377
15	1028	63280
16	1087	62895
17	1164	63524
18	1237	63889
19	1290	63247
20	1345	62717
21	1408	62630
22	1476	62739
23	1544	62813
24	1606	62655
25	1667	62476
26	1717	61882
27	1800	62486
28	1901	63665
29	1965	63538
30	2022	63228
31	2071	62660
32	2113	61938
33	2169	61641
34	2350	64802
35	2549	68268
36	2724	70905
37	3094	78338
38	3310	81578
39	3486	83681
40	3654	85476
41	3780	86242
42	3985	88706
43	4140	89954
44	4327	91835
45	4561	94601
46	4719	95686
47	4857	96347
48	5002	97080
49	5127	97421
50	5275	98170
51	5410	98641
52	5541	99008
53	5666	99277
54	5796	99590
55	5933	100020
56	6074	100488
57	6216	100961
58	6358	101407
59	6500	101837
60	6635	102141
61	6770	102429
62	6904	102692
63	7059	103241
64	7200	103581
65	7321	103610
66	7465	103956
67	7609	104295
68	7748	104553
69	7989	106147
70	8141	106521
71	8291	106868
72	8460	107432
73	8762	109652
74	9161	112993
75	9700	117939
76	9999	119868
77	10159	120091
78	10217	119121
79	10279	118213
80	10349	117426
81	10406	116498
82	10447	115427
83	10502	114525
84	10548	113556
85	10616	112832
86	10660	111876
87	10724	111147
88	10784	110392
89	10837	109582
90	10901	108898
91	10968	108256
92	11036	107638
93	11100	106989
94	11155	106274
95	11204	105511
96	11276	104974
97	11343	104407
98	11412	103865
99	11473	103263
100	11515	102501
101	11555	101734
102	11600	101024
103	11636	100255
104	11676	99530
105	11717	98821
106	11776	98286
107	11829	97702
108	11909	97350
109	11966	96817
110	12022	96291
111	12075	95742
112	12127	95194
113	12172	94601
114	12225	94079
115	12262	93451
116	12304	92860
117	12351	92320
118	12393	91750
119	12437	91205
120	12479	90654
121	12524	90137
122	12566	89602
123	12608	89069
124	12645	88518
125	12683	87978
126	12729	87501
